Model,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20,Coverage@20,Novelty@10,Diversity@10,Precision@10_CI,Recall@10_CI,NDCG@10_CI,Precision@20_CI,Recall@20_CI,NDCG@20_CI
Global,0.0,0.0,0.0,0.0,0.0,0.0,0.00021316961906589073,11.451729365792543,0.9904562869667086,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
Drama,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,10.509354897769398,0.9813602670642352,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
Content,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,15.82830832763137,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
Collaborative,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,11.262052497916349,0.99429885665309,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
Matrix Factorization,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,10.39128886289236,0.9665990879125768,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
Hybrid,0.1,1.0,1.0,0.05,1.0,1.0,0.00010658480953294537,10.086576561852976,0.9727232885849405,"[0.1, 0.1]","[1.0, 1.0]","[1.0, 1.0]","[0.05, 0.05]","[1.0, 1.0]","[1.0, 1.0]"
Switching Hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,10.39128886289236,0.9665990879125768,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
Retrieve-Rerank Hybrid,0.1,1.0,1.0,0.05,1.0,1.0,0.00010658480953294537,11.224471219959664,0.9777937235392227,"[0.1, 0.1]","[1.0, 1.0]","[1.0, 1.0]","[0.05, 0.05]","[1.0, 1.0]","[1.0, 1.0]"
Learning-to-Rank Hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,12.539536219781569,0.9886384987330012,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
Hybrid-CB,0.1,1.0,0.6309297535714575,0.05,1.0,0.6309297535714575,0.00010658480953294537,12.149264556865742,0.955902815764054,"[0.1, 0.1]","[1.0, 1.0]","[0.6309297535714575, 0.6309297535714575]","[0.05, 0.05]","[1.0, 1.0]","[0.6309297535714575, 0.6309297535714575]"
Hybrid-CF,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,10.39128886289236,0.9665990879125768,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
Hybrid-Alpha0.3,0.1,1.0,1.0,0.05,1.0,1.0,0.00010658480953294537,10.369744903745463,0.978131894011941,"[0.1, 0.1]","[1.0, 1.0]","[1.0, 1.0]","[0.05, 0.05]","[1.0, 1.0]","[1.0, 1.0]"
Hybrid-Alpha0.7,0.1,1.0,1.0,0.05,1.0,1.0,0.00010658480953294537,10.19128892562072,0.9650855780855113,"[0.1, 0.1]","[1.0, 1.0]","[1.0, 1.0]","[0.05, 0.05]","[1.0, 1.0]","[1.0, 1.0]"
