Model,UserId,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20,Coverage@20,Novelty@10,Diversity@10
Collaborative,5.5,0.02,0.04047619047619048,0.3,0.015000000000000003,0.04714285714285714,0.09999999999999999,0.00039223209908123894,12.312235650608203,0.9856626217567204
Content,5.5,0.0,0.0,0.3,0.0,0.0,0.09999999999999999,0.0004178124533691458,16.329114540525254,0.29698250520148
Content-Embeddings,5.5,0.030000000000000006,0.03508403361344538,0.3,0.02,0.03802521008403361,0.09999999999999999,0.00042633923813178146,13.519789655569094,0.8895549453978662
Drama,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,10.509354897769398,0.9813602670642352
Global,5.5,0.0,0.0,0.3,0.0,0.0,0.0,0.00021316961906589073,11.451729365792543,0.9904562869667085
Hybrid,5.5,0.030000000000000006,0.14761904761904762,0.4,0.02,0.1619047619047619,0.2,0.0003943637952718978,10.278932048288203,0.9831252190876529
Hybrid-Alpha0.3,5.5,0.02,0.10666666666666666,0.1,0.01,0.10666666666666666,0.1,0.00010658480953294537,9.984007744450718,0.9789938087952088
Hybrid-Alpha0.7,5.5,0.01,0.1,0.1,0.005,0.1,0.1,0.00010658480953294537,10.073371138277643,0.9807660528458143
Hybrid-CB,5.5,0.04,0.11254901960784314,0.06309297535714575,0.02,0.11254901960784314,0.06309297535714575,0.00010658480953294537,10.672125700209161,0.9861232805238777
Hybrid-CF,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00010658480953294537,10.267153415396347,0.9808090873360837
Learning-to-Rank Hybrid,5.5,0.0,0.0,0.3,0.0,0.0,0.09999999999999999,0.0003943637952718978,12.032285988183247,0.9872710535820257
Matrix Factorization,5.5,0.0,0.0,0.3,0.0,0.0,0.09999999999999999,0.0003943637952718978,10.598810480505902,0.980753712148388
Retrieve-Rerank Hybrid,5.5,0.16999999999999998,0.2858263305322129,0.4,0.1,0.3158263305322129,0.2,0.0003943637952718978,10.455439125347166,0.9835965534929605
Switching Hybrid,5.5,0.0,0.0,0.3,0.0,0.0,0.09999999999999999,0.0003943637952718978,10.598810480505902,0.980753712148388
